spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,param_package,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1205,1,0,0,mg/kg,10757,0.01,Fenbutatin oxide,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10758,0.01,Dodin,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10763,0.01,Fenfluthrin,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10765,0.01,Fenhexamide,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10766,0.01,Emamectin benzoate B1a,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10775,0.01,Fenoxaprop-P-Ethyl,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10776,0.01,Flumioxazine,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10781,0.01,Fenpicoxamide,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10784,0.01,Fluorodifen,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10799,0.01,Flurochloridone,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10800,0.01,Fenthion oxon,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10801,0.01,Fluroxypyr-1-methylheptyl,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10804,0.01,Fenthion oxon sulfoxide,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10816,0.01,Folpet,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10818,0.01,Fonophos,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10844,0.01,Flufenoxuron,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10849,0.01,Flumetralin,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10850,0.01,Halosulfuron-methyl,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10857,0.01,"Heptachlor epoxide, cis",GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10870,0.01,Isoxaflutole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10871,0.01,Hexazinone,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10874,0.01,Isoxathione,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10878,0.01,Imazalil,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10879,0.01,Kresoxim-methyl,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10886,0.01,Indaziflam,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10893,0.01,Lufenuron,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10894,0.01,Ioxynil,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10910,0.01,Mefentrifluconazole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10918,0.01,Monocrotophos,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10933,0.01,Metconazole,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10934,0.01,Nitralin,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10935,0.01,Methabenzthiazuron,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,10939,0.01,Methamidophos,GBA_Herbs_spices_pesticide_package_8098; GBA_other_pesticides_8703; GBA_pesticides_dried_fruits_package_9921,perfect,green,<=,0.01,,,,,,
