id,parametertype_id,spec_id,text,column,operator,value,linker,operator2,value2,color,show,DDF_type,inverse,regex_filter,u_created,u_modified,translations,DDF_unit,name,DDF_target_value,DDF_custom_color
81594,10700,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Diflufenican,0.01,
81595,10705,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"Endrin, Keto",0.01,
81596,10711,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Ethalfluralin,0.01,
81597,10718,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"Dimethylphenylmethylformamidine, 2,4",0.01,
81598,10740,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Diphenamide,0.01,
81599,10742,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Diphenylamine,0.01,
81600,10743,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenamidone,0.01,
81601,10744,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dipropetry,0.01,
81602,10746,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Disulfoton,0.01,
81603,10747,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenamiphos sulfone,0.01,
81604,10748,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Disulfoton sulfone,0.01,
81605,10759,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenchlorphos,0.01,
81606,10760,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,EPN,0.01,
81607,10761,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,EPTC,0.01,
81608,10774,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenobucarb,0.01,
81609,10791,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenpyroximate,0.01,
81610,10792,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Flupyradifurone,0.01,
81611,10795,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Flurenol butyl,0.01,
81612,10819,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fipronil sulfone,0.01,
81613,10825,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Formothion,0.01,
81614,10830,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fluazinam,0.01,
81615,10831,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Furalaxyl,0.01,
81616,10832,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fluazuron,0.01,
81617,10842,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Flufenacet oxalate,0.01,
81618,10854,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Heptachlor,0.01,
81619,10855,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Isofenphos-methyl,0.01,
81620,10856,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Isofetamide,0.01,
81621,10858,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Isoprocarb,0.01,
81622,10865,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Isopyrazam,0.01,
81623,10866,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Isoxaben,0.01,
81624,10892,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Linuron,0.01,
81625,10895,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,MGK-264,0.01,
81626,10897,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Iprobenphos,0.01,
81627,10898,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Malaoxon,0.01,
81628,10901,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Mandestrobin,0.01,
81629,10908,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Mefenpyr diethyl,0.01,
81630,10915,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Isodrin,0.01,
81631,10922,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Monuron,0.01,
81632,10924,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Morphothion,0.01,
81633,10925,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Metaflumi zone,0.01,
